,0,20,40,60,80
1,78,81,16,19,0
2,72,78,89,90,81
3,78,60,75,76,99
4,71,63,67,97,95
5,61,77,83,78,85
6,72,81,90,101,95
7,74,60,75,79,91
8,76,79,87,92,110
9,74,60,78,88,64
10,64,81,60,0,0
