,0,20,40,60,80
1,78,53,24,69,104
2,72,82,60,60,97
3,78,79,86,95,104
4,71,79,94,85,118
5,61,60,73,102,92
6,72,82,88,85,90
7,74,81,79,53,0
8,76,77,49,0,56
9,74,60,71,70,4
10,64,67,96,101,55
