,0,20,40,60,80
1,240,238,216,216,310
2,216,218,216,216,34
3,216,216,216,240,2
4,216,216,240,216,9
5,216,216,216,216,297
6,216,216,216,216,312
7,216,216,216,240,308
8,216,216,216,216,316
9,216,221,234,216,308
10,240,235,222,216,312
